trials,subj_idx,response,reward,traveltime,rt,rwdbin,TotalTime,stress,stai_state,stai_trait,SSC,subID,tt,stress2
833,7,1,0.86451415817231,5,0.613,3,0.0414455573712667,1,0.12,0.145454545454545,0.450707361,39862,s,n
834,7,1,0.794219833231323,5,0.579,3,0.0817075349391574,1,0.12,0.145454545454545,0.450707361,39862,s,n
835,7,1,0.726278850495653,5,0.582,3,0.121509986211026,1,0.12,0.145454545454545,0.450707361,39862,s,n
836,7,1,0.574586026177936,5,0.647,2,0.161357835906412,1,0.12,0.145454545454545,0.450707361,39862,s,n
837,7,1,0.563685167801151,5,0.597,2,0.203470224632079,1,0.12,0.145454545454545,0.450707361,39862,s,n
838,7,1,0.486114387931487,5,0.546,2,0.243210751244909,1,0.12,0.145454545454545,0.450707361,39862,s,n
839,7,1,0.445774734756073,5,0.578,2,0.282832126048398,1,0.12,0.145454545454545,0.450707361,39862,s,n
840,7,1,0.416477244832905,5,0.639,2,0.322975371584325,1,0.12,0.145454545454545,0.450707361,39862,s,n
841,7,1,0.400219150740221,5,0.748,2,0.363293991612602,1,0.12,0.145454545454545,0.450707361,39862,s,n
842,7,1,0.273481493752504,5,0.588,1,0.406847725938803,1,0.12,0.145454545454545,0.450707361,39862,s,n
843,7,1,0.166414672412007,5,0.649,1,0.446975047419852,1,0.12,0.145454545454545,0.450707361,39862,s,n
844,7,1,0.0899910638877063,5,0.664,1,0.487431309451428,1,0.12,0.145454545454545,0.450707361,39862,s,n
845,7,1,0.0397257005724188,5,0.664,1,0.527668077888664,1,0.12,0.145454545454545,0.450707361,39862,s,n
846,7,0,0,5,0.418,0,0.568345824958443,1,0.12,0.145454545454545,0.450707361,39862,s,n
847,7,1,0.870162193020295,5,0.509,3,0,1,0.12,0.145454545454545,0.450707361,39862,s,n
848,7,1,0.767094708262913,5,0.582,3,0.039593884382688,1,0.12,0.145454545454545,0.450707361,39862,s,n
849,7,1,0.73929417833305,5,0.588,3,0.0796685987632484,1,0.12,0.145454545454545,0.450707361,39862,s,n
850,7,1,0.698660866162281,5,0.497,3,0.119670176930677,1,0.12,0.145454545454545,0.450707361,39862,s,n
851,7,1,0.627948719462806,5,0.532,2,0.158861562273656,1,0.12,0.145454545454545,0.450707361,39862,s,n
852,7,1,0.569427580326377,5,0.48,2,0.198264647844087,1,0.12,0.145454545454545,0.450707361,39862,s,n
853,7,1,0.482469592184144,5,0.437,2,0.237686296070048,1,0.12,0.145454545454545,0.450707361,39862,s,n
854,7,1,0.447658255719597,5,1.14,2,0.276660484100881,1,0.12,0.145454545454545,0.450707361,39862,s,n
855,7,1,0.392602987280956,5,1.08,2,0.320404714899681,1,0.12,0.145454545454545,0.450707361,39862,s,n
856,7,1,0.402421915213184,5,0.564,2,0.363429589699866,1,0.12,0.145454545454545,0.450707361,39862,s,n
857,7,1,0.399009011038952,5,0.506,2,0.402903497710509,1,0.12,0.145454545454545,0.450707361,39862,s,n
858,7,1,0.319141762146802,5,0.464,1,0.442307457817141,1,0.12,0.145454545454545,0.450707361,39862,s,n
859,7,1,0.287366339892593,5,0.463,1,0.481737426630383,1,0.12,0.145454545454545,0.450707361,39862,s,n
860,7,1,0.226927263645394,5,0.5,1,0.520808408327916,1,0.12,0.145454545454545,0.450707361,39862,s,n
861,7,1,0.223116643447863,5,0.58,1,0.560008014311181,1,0.12,0.145454545454545,0.450707361,39862,s,n
862,7,1,0.187558297930765,5,0.597,1,0.599755262359383,1,0.12,0.145454545454545,0.450707361,39862,s,n
863,7,1,0.915003062289372,5,0.43,3,0,2,0.56,0.145454545454545,0.474993448,39862,s,y
864,7,1,0.838687157917622,5,0.538,3,0.0482726841906462,2,0.56,0.145454545454545,0.474993448,39862,s,y
865,7,1,0.768729826556913,5,0.428,3,0.088726549993031,2,0.56,0.145454545454545,0.474993448,39862,s,y
866,7,1,0.714525044156777,5,0.529,3,0.126955980496628,2,0.56,0.145454545454545,0.474993448,39862,s,y
